type,province,district,sub-district,unit_number,total_ballots,valid_ballots,invalid_ballots,no_vote_ballots,remain_ballots
บช,ลำปาง,งาว,บ้านโป่ง,9,420,255,21,16,128
บช,ลำปาง,งาว,ปงเตา,1,500,283,14,5,198
บช,ลำปาง,งาว,ปงเตา,10,180,95,18,1,66
บช,ลำปาง,งาว,ปงเตา,11,260,125,4,2,129
บช,ลำปาง,งาว,ปงเตา,12,380,235,11,1,133
บช,ลำปาง,งาว,ปงเตา,13,440,302,14,5,119
บช,ลำปาง,งาว,ปงเตา,2,560,330,10,7,213
บช,ลำปาง,งาว,ปงเตา,3,280,167,4,10,99
บช,ลำปาง,งาว,ปงเตา,4,460,294,5,11,150
บช,ลำปาง,งาว,ปงเตา,5,640,406,19,4,211
บช,ลำปาง,งาว,ปงเตา,6,360,198,21,6,135
บช,ลำปาง,งาว,ปงเตา,7,380,172,22,3,183
บช,ลำปาง,งาว,ปงเตา,8,360,239,13,4,104
บช,ลำปาง,งาว,ปงเตา,9,440,279,5,2,154
เขต,ลำปาง,วังเหนือ,วังใต้,1,420,288,16,12,104
เขต,ลำปาง,วังเหนือ,วังใต้,2,360,232,19,11,98
เขต,ลำปาง,วังเหนือ,วังใต้,3,320,215,6,3,96
เขต,ลำปาง,วังเหนือ,วังใต้,4,240,162,8,11,59
เขต,ลำปาง,วังเหนือ,วังใต้,5,400,254,19,11,116
เขต,ลำปาง,วังเหนือ,วังใต้,6,460,302,15,9,134
เขต,ลำปาง,วังเหนือ,วังใต้,7,420,269,15,19,117
เขต,ลำปาง,วังเหนือ,ทุ่งฮั้ว,1,400,271,19,23,87
เขต,ลำปาง,วังเหนือ,ทุ่งฮั้ว,10,320,195,12,14,99
เขต,ลำปาง,วังเหนือ,ทุ่งฮั้ว,11,300,198,19,15,68
เขต,ลำปาง,วังเหนือ,ทุ่งฮั้ว,12,320,203,22,11,84
เขต,ลำปาง,วังเหนือ,ทุ่งฮั้ว,2,560,377,25,18,140
เขต,ลำปาง,วังเหนือ,ทุ่งฮั้ว,3,-1,97,-1,-1,-1
เขต,ลำปาง,วังเหนือ,ทุ่งฮั้ว,4,420,312,14,6,88
เขต,ลำปาง,วังเหนือ,ทุ่งฮั้ว,5,520,354,30,7,129
เขต,ลำปาง,วังเหนือ,ทุ่งฮั้ว,6,220,143,7,6,64
เขต,ลำปาง,วังเหนือ,ทุ่งฮั้ว,7,680,507,29,21,123
เขต,ลำปาง,วังเหนือ,ทุ่งฮั้ว,8,240,150,12,10,68
เขต,ลำปาง,วังเหนือ,ทุ่งฮั้ว,9,240,148,15,16,61
เขต,ลำปาง,วังเหนือ,บ้านใหม่,1,460,297,34,12,117
เขต,ลำปาง,วังเหนือ,บ้านใหม่,2,420,293,21,14,92
เขต,ลำปาง,วังเหนือ,บ้านใหม่,3,540,333,26,21,160
เขต,ลำปาง,วังเหนือ,บ้านใหม่,4,560,343,31,26,160
เขต,ลำปาง,วังเหนือ,ร่องเคาะ,1,720,355,42,14,309
เขต,ลำปาง,วังเหนือ,ร่องเคาะ,10,300,192,10,0,98
เขต,ลำปาง,วังเหนือ,ร่องเคาะ,11,280,193,6,16,65
เขต,ลำปาง,วังเหนือ,ร่องเคาะ,12,440,182,30,6,222
เขต,ลำปาง,วังเหนือ,ร่องเคาะ,13,380,155,24,2,199
เขต,ลำปาง,วังเหนือ,ร่องเคาะ,14,340,224,17,14,85
